Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese
npcCleanerEmptyHand,entityclasses,Entity,,,Spec Ops Cleaner,,,,,,,,,,,,,
npcCleanerClub,entityclasses,Entity,,,Spec Ops Cleaner,,,,,,,,,,,,,
npcCleanerKnife,entityclasses,Entity,,,Spec Ops Cleaner,,,,,,,,,,,,,
npcCleanerAxe,entityclasses,Entity,,,Spec Ops Cleaner,,,,,,,,,,,,,
npcCleanerBat,entityclasses,Entity,,,Spec Ops Cleaner,,,,,,,,,,,,,
npcCleanerMachete,entityclasses,Entity,,,Spec Ops Cleaner,,,,,,,,,,,,,
npcCleanerSMG,entityclasses,Entity,,,Spec Ops Cleaner,,,,,,,,,,,,,
npcCleanerM60,entityclasses,Entity,,,Spec Ops Cleaner,,,,,,,,,,,,,
npcCleanerPistol,entityclasses,Entity,,,Spec Ops Cleaner,,,,,,,,,,,,,
npcCleanerDPistol,entityclasses,Entity,,,Spec Ops Cleaner,,,,,,,,,,,,,
npcCleanerAK47,entityclasses,Entity,,,Spec Ops Cleaner,,,,,,,,,,,,,
npcCleanerTRifle,entityclasses,Entity,,,Spec Ops Cleaner,,,,,,,,,,,,,
npcCleanerSRifle,entityclasses,Entity,,,Spec Ops Cleaner,,,,,,,,,,,,,
npcCleanerPShotgun,entityclasses,Entity,,,Spec Ops Cleaner,,,,,,,,,,,,,
npcCleanerAShotgun,entityclasses,Entity,,,Spec Ops Cleaner,,,,,,,,,,,,,
npcCleanerRocketL,entityclasses,Entity,,,Spec Ops Cleaner,,,,,,,,,,,,,
npcCleanerGEmptyHand,entityclasses,Entity,,,Spec Ops Cleaner,,,,,,,,,,,,,
npcCleanerGClub,entityclasses,Entity,,,Spec Ops Cleaner,,,,,,,,,,,,,
npcCleanerGKnife,entityclasses,Entity,,,Spec Ops Cleaner,,,,,,,,,,,,,
npcCleanerGAxe,entityclasses,Entity,,,Spec Ops Cleaner,,,,,,,,,,,,,
npcCleanerGBat,entityclasses,Entity,,,Spec Ops Cleaner,,,,,,,,,,,,,
npcCleanerGMachete,entityclasses,Entity,,,Spec Ops Cleaner,,,,,,,,,,,,,
npcCleanerGSMG,entityclasses,Entity,,,Spec Ops Cleaner,,,,,,,,,,,,,
npcCleanerGM60,entityclasses,Entity,,,Spec Ops Cleaner,,,,,,,,,,,,,
npcCleanerGPistol,entityclasses,Entity,,,Spec Ops Cleaner,,,,,,,,,,,,,
npcCleanerGDPistol,entityclasses,Entity,,,Spec Ops Cleaner,,,,,,,,,,,,,
npcCleanerGAK47,entityclasses,Entity,,,Spec Ops Cleaner,,,,,,,,,,,,,
npcCleanerGTRifle,entityclasses,Entity,,,Spec Ops Cleaner,,,,,,,,,,,,,
npcCleanerGSRifle,entityclasses,Entity,,,Spec Ops Cleaner,,,,,,,,,,,,,
npcCleanerGPShotgun,entityclasses,Entity,,,Spec Ops Cleaner,,,,,,,,,,,,,
npcCleanerGAShotgun,entityclasses,Entity,,,Spec Ops Cleaner,,,,,,,,,,,,,
npcCleanerGRocketL,entityclasses,Entity,,,Spec Ops Cleaner,,,,,,,,,,,,,
npcCleanerOEmptyHand,entityclasses,Entity,,,Spec Ops Cleaner,,,,,,,,,,,,,
npcCleanerOClub,entityclasses,Entity,,,Spec Ops Cleaner,,,,,,,,,,,,,
npcCleanerOKnife,entityclasses,Entity,,,Spec Ops Cleaner,,,,,,,,,,,,,
npcCleanerOAxe,entityclasses,Entity,,,Spec Ops Cleaner,,,,,,,,,,,,,
npcCleanerOBat,entityclasses,Entity,,,Spec Ops Cleaner,,,,,,,,,,,,,
npcCleanerOMachete,entityclasses,Entity,,,Spec Ops Cleaner,,,,,,,,,,,,,
npcCleanerOSMG,entityclasses,Entity,,,Spec Ops Cleaner,,,,,,,,,,,,,
npcCleanerOM60,entityclasses,Entity,,,Spec Ops Cleaner,,,,,,,,,,,,,
npcCleanerOPistol,entityclasses,Entity,,,Spec Ops Cleaner,,,,,,,,,,,,,
npcCleanerODPistol,entityclasses,Entity,,,Spec Ops Cleaner,,,,,,,,,,,,,
npcCleanerOAK47,entityclasses,Entity,,,Spec Ops Cleaner,,,,,,,,,,,,,
npcCleanerOTRifle,entityclasses,Entity,,,Spec Ops Cleaner,,,,,,,,,,,,,
npcCleanerOSRifle,entityclasses,Entity,,,Spec Ops Cleaner,,,,,,,,,,,,,
npcCleanerOPShotgun,entityclasses,Entity,,,Spec Ops Cleaner,,,,,,,,,,,,,
npcCleanerOAShotgun,entityclasses,Entity,,,Spec Ops Cleaner,,,,,,,,,,,,,
npcCleanerORocketL,entityclasses,Entity,,,Spec Ops Cleaner,,,,,,,,,,,,,




