Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese

challengeRewardBonusSlayerReward,Challenges,Challenge Group Reward,,,Slayer Reward: 1 Skill Point,,Schlächterbelohnung: 1 Fertigkeitspunkt,Recompensa de asesino: 1 punto de habilidad,Récompense Tueur : 1 point de compétence,Ricompensa uccisore: 1 punto abilità,スレイヤー報酬：1スキルポイント,슬레이어 보상: 스킬 포인트 1점,Nagroda rzeźnika: 1 punkt umiejętności,Recompensa de abates: 1 Ponto de Habilidade,Награда за убийство: 1 очко навыков,Katliam Ödülü: 1 Beceri Puanı,杀戮奖励：1 点技能点,殺手獎勵：1 點技能點
challengeRewardBonusSurvivalReward,Challenges,Challenge Group Reward,,,Survival Reward: 1 Skill Point,,Überlebensbelohnung: 1 Fertigkeitspunkt,Recompensa de supervivencia: 1 punto de habilidad,Récompense Survie : 1 point de compétence,Ricompensa di sopravvivenza: 1 punto abilità,上級サバイバル報酬：1スキルポイント,생존 보상: 스킬 포인트 1점,Nagroda przetrwania: 1 punkt umiejętności,Recompensa de sobrevivência: 1 Ponto de Habilidade,Награда за выживание: 1 очко навыков,Hayatta Kalma Ödülü: 1 Beceri Puanı,生存奖励：1 点技能点,生存獎勵：1 點技能點
challengeRewardBonusSurvivorReward,Challenges,Challenge Group Reward,,,Survivor Reward: 1 Skill Point,,Überlebensbelohnung: 1 Fertigkeitspunkt,Recompensa de superviviente: 1 punto de habilidad,Récompense Survivant : 1 point de compétence,Ricompensa sopravvissuto: 1 punto abilità,サバイバー報酬：1スキルポイント,생존자 보상: 스킬 포인트 1점,Nagroda ocalałego: 1 punkt umiejętności,Recompensa de sobrevivente: 1 Ponto de Habilidade,Награда выжившему: 1 очко навыков,Hayatta Kalan Ödülü: 1 Beceri Puanı,幸存者奖励：1 点技能点,倖存者獎勵：1 點技能點
challengeRewardBonusTraderQuest,Challenges,Challenge Group Reward,,,Basics Reward: 1 Skill Point,,Grundlagenbelohnung: 1 Fertigkeitspunkt,Recompensa básica: 1 punto de habilidad,Récompense Basique : 1 point de compétence,Ricompensa base: 1 punto abilità,基本報酬：1スキルポイント,기본 보상: 스킬 포인트 1점,Nagroda podstawowa: 1 punkt umiejętności,Recompensa básica: 1 Ponto de Habilidade,Базовая награда: 1 очко навыков,Temel Ödül: 1 Beceri Puanı,基础奖励：1 点技能点,基礎獎勵：1 點技能點
challengeRewardBonusTradersReward,Challenges,Challenge Group Reward,,,Traders Reward: 1 Skill Point,,Händlerbelohnung: 1 Fertigkeitspunkt,Recompensa de comerciantes: 1 punto de habilidad,Récompense Marchands : 1 point de compétence,Ricompensa negozianti: 1 punto abilità,トレーダー報酬：1スキルポイント,상인 보상: 스킬 포인트 1점,Nagroda handlarzy: 1 punkt umiejętności,Recompensa de Comerciantes: 1 Ponto de Habilidade,Награда торговцев: 1 очко навыков,Tüccarların Ödülü: 1 Beceri Puanı,商人奖励：1 点技能点,商人獎勵：1 點技能點
challengeRewardBonusCraftingReward,Challenges,Challenge Objective,,,Crafting Reward: 1 Skill Point,,Fertigungsbelohnung: 1 Fertigkeitspunkt,Recompensa de fabricación: 1 punto de habilidad,Récompense Fabrication : 1 point de compétence,Ricompensa creazione: 1 punto abilità,クラフト報酬：1スキルポイント,제작 보상: 스킬 포인트 1점,Nagroda wytwarzania: 1 punkt umiejętności,Recompensa de fabricação: 1 Ponto de Habilidade,Награда за изготовление: 1 очко навыков,Üretim Ödülü: 1 Beceri Puanı,制作奖励：1 点技能点,製作獎勵：1 點技能點
challengeRewardBonusFarmerReward,Challenges,Challenge Objective,,,Farmer Reward: 1 Skill Point,,Landwirtbelohnung: 1 Fertigkeitspunkt,Recompensa de granjero: 1 punto de habilidad,Récompense Fermier : 1 point de compétence,Ricompensa contadino: 1 punto abilità,農業報酬：1スキルポイント,농부 보상: 스킬 포인트 1점,Nagroda rolnika: 1 punkt umiejętności,Recompensa de fazendeiro: 1 Ponto de Habilidade,Награда за фермерство: 1 очко навыков,Çiftçi Ödülü: 1 Beceri Puanı,农夫奖励：1 点技能点,農民獎勵：1 點技能點
challengeRewardBonusGathererReward,Challenges,Challenge Objective,,,Gatherer Reward: 1 Skill Point,,Sammlerbelohnung: 1 Fertigkeitspunkt,Recompensa de recolector: 1 punto de habilidad,Récompense Collecteur : 1 point de compétence,Ricompensa raccoglitore: 1 punto abilità,採取報酬：1スキルポイント,채집꾼 보상: 스킬 포인트 1점,Nagroda zbieracza: 1 punkt umiejętności,Recompensa de coletor: 1 Ponto de Habilidade,Награда за сбор: 1 очко навыков,Toplayıcı Ödülü: 1 Beceri Puanı,采集者奖励：1 点技能点,採集者獎勵：1 點技能點
challengeRewardBonusHarvestingReward,Challenges,Challenge Objective,,,Harvesting Reward: 1 Skill Point,,Erntebelohnung: 1 Fertigkeitspunkt,Recompensa de cosecha: 1 punto de habilidad,Récompense Récolte : 1 point de compétence,Ricompensa raccolta: 1 punto abilità,素材集め報酬：1スキルポイント,수확 보상: 스킬 포인트 1점,Nagroda pozyskiwania: 1 punkt umiejętności,Recompensa de colheita: 1 Ponto de Habilidade,Награда за добычу: 1 очко навыков,Hasat Ödülü: 1 Beceri Puanı,收集奖励：1 点技能点,收穫獎勵：1 點技能點
