Key,Source,Context,Changes,english,schinese
modArmorKineticRecoilCoreMK1,items,Item,New,[8B4513]Kinetic Recoil Core MK1[-],[8B4513]动能反冲核心·MK1[-]
modArmorKineticRecoilCoreMK1Desc,items,Item,New,"A cybernetic kinetic converter that discharges an omnidirectional shockwave when the wearer is hit. When Health is above [32CD32]35%[-]: radius [FFD700]4m[-]; [FF4500]8[-] Bashing damage with strong knockback. When Health is at or below [32CD32]35%[-]: radius extends to [FFD700]5.5m[-]. Hit enemies have a [FFA500]45%[-] chance to be ragdolled for 1s. You gain [708090]25%[-] physical damage resistance for 5s. Cooldown: [00BFFF]6s[-].","赛博动能转换装置——能将受击产生的动能瞬间转化为全向冲击脉冲。生命值高于[32CD32]35%[-]时：半径[FFD700]4米[-]；造成[FF4500]8[-]点钝击伤害并强力击退。生命值不高于[32CD32]35%[-]时：半径扩大至[FFD700]5.5米[-]。被击中的敌人有[FFA500]45%[-]概率倒地1秒。自身获得[708090]25%[-]物理减伤，持续5秒。冷却时间：[00BFFF]6秒[-]。"
buffMK1KineticRecoilResistName,buffs,Buff,New,Kinetic Shield,动能护盾
buffMK1KineticRecoilResistDesc,buffs,Buff,New,Physical damage resistance increased by [708090]25%[-].,物理伤害抗性提升[708090]25%[-]。

modArmorKineticRecoilCoreMK2,items,Item,New,[FF8C00]Kinetic Recoil Core MK2[-],[FF8C00]动能反冲核心·MK2[-]
modArmorKineticRecoilCoreMK2Desc,items,Item,New,"A cybernetic kinetic converter that discharges an omnidirectional shockwave when the wearer is hit. When Health is above [32CD32]35%[-]: radius [FFD700]5.5m[-]; [FF4500]15[-] Bashing damage with strong knockback. When Health is at or below [32CD32]35%[-]: radius extends to [FFD700]7m[-]. Hit enemies have a [FFA500]45%[-] chance to be ragdolled for 1s. You gain [708090]35%[-] physical damage resistance for 5s. Cooldown: [00BFFF]6s[-].","赛博动能转换装置——能将受击产生的动能瞬间转化为全向冲击脉冲。生命值高于[32CD32]35%[-]时：半径[FFD700]5.5米[-]；造成[FF4500]15[-]点钝击伤害并强力击退。生命值不高于[32CD32]35%[-]时：半径扩大至[FFD700]7米[-]。被击中的敌人有[FFA500]45%[-]概率倒地1秒。自身获得[708090]35%[-]物理减伤，持续5秒。冷却时间：[00BFFF]6秒[-]。"
buffMK2KineticRecoilResistName,buffs,Buff,New,Kinetic Shield,动能护盾
buffMK2KineticRecoilResistDesc,buffs,Buff,New,Physical damage resistance increased by [708090]35%[-].,物理伤害抗性提升[708090]35%[-]。

modArmorKineticRecoilCoreMK3,items,Item,New,[B8860B]Kinetic Recoil Core MK3[-],[B8860B]动能反冲核心·MK3[-]
modArmorKineticRecoilCoreMK3Desc,items,Item,New,"A cybernetic kinetic converter that discharges an omnidirectional shockwave when the wearer is hit. When Health is above [32CD32]35%[-]: radius [FFD700]6.5m[-]; [FF4500]18.6[-] Bashing damage with strong knockback. When Health is at or below [32CD32]35%[-]: radius extends to [FFD700]8.375m[-]. Hit enemies have a [FFA500]45%[-] chance to be ragdolled for 1s. You gain [708090]41.25%[-] physical damage resistance for 5s. Cooldown: [00BFFF]6s[-].","赛博动能转换装置——能将受击产生的动能瞬间转化为全向冲击脉冲。生命值高于[32CD32]35%[-]时：半径[FFD700]6.5米[-]；造成[FF4500]18.6[-]点钝击伤害并强力击退。生命值不高于[32CD32]35%[-]时：半径扩大至[FFD700]8.375米[-]。被击中的敌人有[FFA500]45%[-]概率倒地1秒。自身获得[708090]41.25%[-]物理减伤，持续5秒。冷却时间：[00BFFF]6秒[-]。"
buffMK3KineticRecoilResistName,buffs,Buff,New,Kinetic Shield,动能护盾
buffMK3KineticRecoilResistDesc,buffs,Buff,New,Physical damage resistance increased by [708090]41.25%[-].,物理伤害抗性提升[708090]41.25%[-]。

modArmorKineticRecoilCoreMK4,items,Item,New,[2E8B57]Kinetic Recoil Core MK4[-],[2E8B57]动能反冲核心·MK4[-]
modArmorKineticRecoilCoreMK4Desc,items,Item,New,"A cybernetic kinetic converter that discharges an omnidirectional shockwave when the wearer is hit. When Health is above [32CD32]35%[-]: radius [FFD700]7.5m[-]; [FF4500]22.2[-] Bashing damage with strong knockback. When Health is at or below [32CD32]35%[-]: radius extends to [FFD700]9.75m[-]. Hit enemies have a [FFA500]45%[-] chance to be ragdolled for 1s. You gain [708090]47.5%[-] physical damage resistance for 5s. Cooldown: [00BFFF]6s[-].","赛博动能转换装置——能将受击产生的动能瞬间转化为全向冲击脉冲。生命值高于[32CD32]35%[-]时：半径[FFD700]7.5米[-]；造成[FF4500]22.2[-]点钝击伤害并强力击退。生命值不高于[32CD32]35%[-]时：半径扩大至[FFD700]9.75米[-]。被击中的敌人有[FFA500]45%[-]概率倒地1秒。自身获得[708090]47.5%[-]物理减伤，持续5秒。冷却时间：[00BFFF]6秒[-]。"
buffMK4KineticRecoilResistName,buffs,Buff,New,Kinetic Shield,动能护盾
buffMK4KineticRecoilResistDesc,buffs,Buff,New,Physical damage resistance increased by [708090]47.5%[-].,物理伤害抗性提升[708090]47.5%[-]。

modArmorKineticRecoilCoreMK5,items,Item,New,[4169E1]Kinetic Recoil Core MK5[-],[4169E1]动能反冲核心·MK5[-]
