Key,File,Type,UsedInMainMenu,NoTranslate,english,russian

creBoxOfMods,items,Item,,,Box of Mods T1,Ящик с модификациями T1
creBoxOfModsDesc,items,Item,,,There is a random T1 modification inside.,Внутри лежит случайная модификация T1.
creBoxOfAmmo,items,Item,,,Box of Ammo,Ящик с патронами
creBoxOfAmmoDesc,items,Item,,,Inside there are a number of different cartridges.,Внутри лежит некоторое количество патронов.





modCreWeapDamageT1,items,Item,,,Damage mod T1,Мод. урона T1
modCreWeapDurabT1,items,Item,,,Durability mod T1,Мод. прочности T1

modCreGunRPMT1,items,Item,,,Rate of fire mod T1,Мод. скорострельности T1
modCreGunReloadT1,items,Item,,,Faster Reload mod T1,Мод. быстрой перезарядки T1
modCreGunMagazineT1,items,Item,,,Bigger magazine mod T1,Мод. большого магазина T1
modCreGunGripT1,items,Item,,,Reliable grip mod T1,Мод. удобная рукоять T1
modCreGunRangeT1,items,Item,,,Upgrade barrel mod T1,Мод. улучшенного ствола T1
modCreGunShockT1,items,Item,,,Shock gun mod T1,Мод. шока для пушек T1
modCreGunBloodT1,items,Item,,,Bleed mod T1,Мод. кровотечения для пушек T1

modCreBowStringT1,items,Item,,,Bow string mod T1,Мод. тетивы для лука T1
modCreBowPowerT1,items,Item,,,Bow power T1,Мод. мощи для лука T1

modCreMeleeAPMT1,items,Item,,,Comfortable handle mod T1,Мод. удобной рукоятки T1
modCreMeleeStaminaT1,items,Item,,,Rubber handle mod T1,Мод. резиновой рукояткиT1
modCreMeleeBlockT1,items,Item,,,Sharp blade mod T1,Мод. острого лезвия T1
modCreMeleeFireT1,items,Item,,,Fire mod T1,Мод. огня T1
modCreMeleeShockT1,items,Item,,,Shock mod T1,Мод. шока T1
modCreMeleeBreakT1,items,Item,,,Break mod T1,Мод. раскола T1





modCreWeapDamageT2,items,Item,,,Damage mod T2,Мод. урона T2
modCreWeapDurabT2,items,Item,,,Durability mod T2,Мод. прочности T2

modCreGunRPMT2,items,Item,,,Rate of fire mod T2,Мод. скорострельности T2
modCreGunReloadT2,items,Item,,,Faster Reload mod T2,Мод. быстрой перезарядки T2
modCreGunMagazineT2,items,Item,,,Bigger magazine mod T2,Мод. большого магазина T2
modCreGunGripT2,items,Item,,,Reliable grip mod T2,Мод. удобная рукоять T2
modCreGunRangeT2,items,Item,,,Upgrade barrel mod T2,Мод. улучшенного ствола T2
