Key,english

9mmJunkTurret, 9mm Junk Turret
9mmJunkTurretDesc, "A poppy lil bastard. Shoots all 9mm ammo types.\n\nCan be placed on the ground using secondary action.\n\nCan be repaired with Repair Kit.\n\nHave fun, kill some shit."

762JunkTurret, 7.62 Junk Turret
762JunkTurretDesc, "I ran out of clever shit to say. Shoots all 7.62 ammo types.\n\nCan be placed on the ground using secondary action.\n\nCan be repaired with Repair Kit.\n\nHave fun, kill some shit."

ShotgunJunkTurret, Shotgun Junk Turret
ShotgunJunkTurretDesc, "A shotgun turret, cause gator don't take no shit. Shoots all shotgun ammo types.\n\nCan be placed on the ground using secondary action.\n\nCan be repaired with Repair Kit.\n\nHave fun, kill some shit."

44magnumJunkTurret, 44 Magnum Junk Turret
44magnumJunkTurretDesc, "Clint Eastwood would be proud. Shoots all 44mag ammo types.\n\nCan be placed on the ground using secondary action.\n\nCan be repaired with Repair Kit.\n\nHave fun, kill some shit."

perkRoboticLegionName, Robotic Legion
perkRoboticLegionDesc, "Master-level networking for your automated defenses. Requires Intellect Level 10 and Robotics Inventor Level 5 to unlock."
perkRoboticLegionRank1Desc, Triple Threat
perkRoboticLegionRank1LongDesc, "Allows you to have 3 active robotic turrets at once."
perkRoboticLegionRank2Desc, Quad Commander
perkRoboticLegionRank2LongDesc, "Allows you to have 4 active robotic turrets at once."
perkRoboticLegionRank3Desc, Shit How Many You Need
perkRoboticLegionRank3LongDesc, "Allows you to have 5 active robotic turrets at once."


reqRoboticsInventor05,Robotics Inventor Level 5
