Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,french
ForgeT2,blocks,Workstation,,,Forge lvl 2
statCraftingSmeltTimeForgeT2,ui_display,Item stat,,,Advanced Forge Smelting Speed,,
statCraftingTimeForgeT2,ui_display,Item stat,,,Advanced Forge Crafting Speed,,
ForgeT2Schematic,blocks,Workstation,,,Forge LVL2 Schematic,,
ForgeT3,blocks,Workstation,,,Forge lvl 3
statCraftingSmeltTimeForgeT3,ui_display,Item stat,,,Advanced Forge Smelting Speed,,
statCraftingTimeForgeT3,ui_display,Item stat,,,Advanced Forge Crafting Speed,,
ForgeT3Schematic,blocks,Workstation,,,Forge LVL3 Schematic,,
toolAnvilT2,items,Item,,,Anvil LVL 2,,Enclume amélioré LVL 2
toolAnvilT2Schematic,items,Item,,,Anvil LVL 2 Schematic,,Schéma de l'Enclume amélioré LVL 2
toolAnvilT3,items,Item,,,Anvil LVL 3,,Enclume amélioré LVL 3
toolAnvilT3Schematic,items,Item,,,Anvil LVL 3 Schematic,,Schéma de l'Enclume amélioré LVL 3
toolBellowsT2,items,Item,,,Bellows LVL 2,,Soufflet amélioré LVL 2
toolBellowsT2Schematic,items,Item,,,Bellows LVL 2 Schematic,,Schéma du Soufflet amélioré LVL 2
toolBellowsT3,items,Item,,,Bellows LVL 3,,Soufflet amélioré LVL 3
toolBellowsT3Schematic,items,Item,,,Bellows LVL 3 Schematic,,Schéma du Soufflet amélioré LVL 3
toolBellowsT2Desc,items,Item,,,An upgraded tool that can be installed in the forge to allow increased airflow and faster smelting speeds.,,Un outil amélioré pouvant être installé dans la forge pour augmenter le débit d'air et la vitesse de fonte.
toolBellowsT3Desc,items,Item,,,An upgraded tool that can be installed in the forge to allow increased airflow and faster smelting speeds.,,Un outil amélioré pouvant être installé dans la forge pour augmenter le débit d'air et la vitesse de fonte.
toolAnvilT2Desc,items,Item,,,An upgraded tool that can be installed in a forge. It increases the crafting speed of that forge.,,Un outil amélioré pouvant être installé dans une forge. Il augmente la vitesse de fabrication de cette forge.
toolAnvilT3Desc,items,Item,,,An upgraded tool that can be installed in a forge. It increases the crafting speed of that forge.,,Un outil amélioré pouvant être installé dans une forge. Il augmente la vitesse de fabrication de cette forge.



