Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,french
reqPerceptionLevel12,progression,Attribute,,,Perception Level 12,,Perception niveau 12
reqStrengthLevel12,progression,Attribute,,,Strength Level 12,,Force niveau 12
reqFortitudeLevel12,progression,Attribute,,,Fortitude Level 12,,Courage niveau 12
reqAgilityLevel12,progression,Attribute,,,Agility Level 12,,Agilité niveau 12
reqIntellectLevel12,progression,Attribute,,,Intellect Level 12,,Intelligence niveau 12
attPerceptionRank11Desc,progression,Attribute,,,[FF8C00]★ Master: Divine Senses ★[-],,[FF8C00]★ Master: Sens Divin ★[-]
attPerceptionRank11LongDesc,progression,Attribute,,,"You are unrivaled at making heads go boom.  Deal [7CFC00]325%[-] head shot damage and have a [7CFC00]60%[-] chance to dismember with rifles, explosives, spears and tools governed by Salvage Operations.",,"Personne ne vous égale quand il s'agit de faire sauter les cervelles. Vos coups à la tête infligent [7CFC00]325 %[-] de dégâts et vous gagnez [7CFC00]60 %[-] de chance de démembrer avec les fusils, les explosifs, les lances et les outils régis par Opération récupération."
attPerceptionRank12Desc,progression,Attribute,,,[FF3030]★ Master : Omniscience ★[-],,[FF3030]★ Master : Omniscience ★[-]
attPerceptionRank12LongDesc,progression,Attribute,,,"You are unrivaled at making heads go boom.  Deal [7CFC00]350%[-] head shot damage and have a [7CFC00]70%[-] chance to dismember with rifles, explosives, spears and tools governed by Salvage Operations.",,"Personne ne vous égale quand il s'agit de faire sauter les cervelles. Vos coups à la tête infligent [7CFC00]350 %[-]de dégâts et vous gagnez [7CFC00]70 %[-] de chance de démembrer avec les fusils, les explosifs, les lances et les outils régis par Opération récupération."
attStrengthRank11Desc,progression,Attribute,,,[FF8C00]★ Master : Titanic Strength ★[-],,[FF8C00]★ Master : Force Titanesque ★[-]
attStrengthRank11LongDesc,progression,Attribute,,,"You could be an Olympic champion if the apocalypse hadn't crushed that dream. Now you can just crush zombies. Deal [7CFC00]325%[-] head shot damage and have a [7CFC00]60%[-] greater chance to dismember with shotguns, clubs, sledgehammers and tools governed by Miner 69'er.",,"Vous auriez pu être un champion olympique si l'apocalypse n'avait pas brisé vos rêves. Désormais, vous pouvez vous contenter d'écraser des zombies. Vos coups à la tête infligent [7CFC00]325 %[-] de dégâts et vous gagnez [7CFC00]60 %[-] de chance de démembrer avec les fusils à pompe, les massues, les masses et les outils régis par Ruée vers l'or."
attStrengthRank12Desc,progression,Attribute,,,[FF3030]★ Master : Eternal Colossus ★[-],,[FF3030]★ Master : Colosse Éternel ★[-]
attStrengthRank12LongDesc,progression,Attribute,,,"You could be an Olympic champion if the apocalypse hadn't crushed that dream. Now you can just crush zombies. Deal [7CFC00]350%[-] head shot damage and have a [7CFC00]70%[-] greater chance to dismember with shotguns, clubs, sledgehammers and tools governed by Miner 69'er.",,"Vous auriez pu être un champion olympique si l'apocalypse n'avait pas brisé vos rêves. Désormais, vous pouvez vous contenter d'écraser des zombies. Vos coups à la tête infligent [7CFC00]350 %[-] de dégâts et vous gagnez [7CFC00]70 %[-] de chance de démembrer avec les fusils à pompe, les massues, les masses et les outils régis par Ruée vers l'or."
attFortitudeRank11Desc,progression,Attribute,,,[FF8C00]★ Master : Alpha Metabolism ★[-],,[FF8C00]★ Master : Métabolisme Alpha ★[-]
attFortitudeRank11LongDesc,progression,Attribute,,,You have exuberant fortitude and can put a beat down on a tornado. Deal [7CFC00]325%[-] head shot damage and have a [7CFC00]60%[-] chance to dismember with fists and machine guns.,,Vous débordez de courage et vous pourriez mettre une tornade au tapis. Vos coups à la tête infligent [7CFC00]325 %[-] de dégâts et vous gagnez [7CFC00]60 %[-] de chance de démembrer avec les poings et les mitrailleuses.
attFortitudeRank12Desc,progression,Attribute,,,[FF3030]★ Master : Relative Immortality ★[-],,[FF3030]★ Master : Immortalité Relative ★[-]
attFortitudeRank12LongDesc,progression,Attribute,,,You have exuberant fortitude and can put a beat down on a tornado. Deal [7CFC00]350%[-] head shot damage and have a [7CFC00]70%[-] chance to dismember with fists and machine guns.,,Vous débordez de courage et vous pourriez mettre une tornade au tapis. Vos coups à la tête infligent [7CFC00]350 %[-] de dégâts et vous gagnez [7CFC00]70 %[-] de chance de démembrer avec les poings et les mitrailleuses.
attAgilityRank11Desc,progression,Attribute,,,[FF8C00]★ Master : Lightning Reflexes ★[-],,[FF8C00]★ Master : Reflexes Éclairs ★[-]
attAgilityRank11LongDesc,progression,Attribute,,,"Your dexterity is unmatched. Deal [7CFC00]325%[-] head shot damage and have a [7CFC00]60%[-] chance to dismember with bows, handguns and knives.",,"Votre dextérité est sans égale. Vos coups à la tête infligent [7CFC00]325 %[-] de dégâts et vous gagnez [7CFC00]60 %[-] de chance de démembrer avec les arcs, les armes de poing et les couteaux."
attAgilityRank12Desc,progression,Attribute,,,[FF3030]★ Master : Master of Wind ★[-],,[FF3030]★ Master : Maître du Vent ★[-]
attAgilityRank12LongDesc,progression,Attribute,,,"Your dexterity is unmatched. Deal [7CFC00]350%[-] head shot damage and have a [7CFC00]70%[-] chance to dismember with bows, handguns and knives.",,"Votre dextérité est sans égale. Vos coups à la tête infligent [7CFC00]350%[-] de dégâts et vous gagnez [7CFC00]70%[-] de chance de démembrer avec les arcs, les armes de poing et les couteaux."
attIntellectRank11Desc,progression,Attribute,,,[FF8C00]★ Master : Absolute Genius ★[-],,[FF8C00]★ Master : Génie Absolu ★[-]
