Key,english

quest_tier2_superinfested_clear,[ea899a]Tier 2 Super Infestation[-]
quest_tier3_superinfested_clear,[ea899a]Tier 3 Super Infestation[-]
quest_tier4_superinfested_clear,[ea899a]Tier 4 Super Infestation[-]
quest_tier5_superinfested_clear,[ea899a]Tier 5 Super Infestation[-]
quest_tier6_superinfested_clear,[ea899a]Tier 6 Super Infestation[-]
quest_tier7_superinfested_clear,[ea899a]Tier 7 Super Infestation[-]
quest_tier8_superinfested_clear,[ea899a]Tier 8 Super Infestation[-]
quest_tier9_superinfested_clear,[ea899a]Tier 9 Super Infestation[-]
quest_tier10_superinfested_clear,[ea899a]Tier 10 Super Infestation[-]

quest_tier2_ultrainfested_clear,[fc8c03]Tier 2 Ultra Infestation[-]
quest_tier3_ultrainfested_clear,[fc8c03]Tier 3 Ultra Infestation[-]
quest_tier4_ultrainfested_clear,[fc8c03]Tier 4 Ultra Infestation[-]
quest_tier5_ultrainfested_clear,[fc8c03]Tier 5 Ultra Infestation[-]
quest_tier6_ultrainfested_clear,[fc8c03]Tier 6 Ultra Infestation[-]
quest_tier7_ultrainfested_clear,[fc8c03]Tier 7 Ultra Infestation[-]
quest_tier8_ultrainfested_clear,[fc8c03]Tier 8 Ultra Infestation[-]
quest_tier9_ultrainfested_clear,[fc8c03]Tier 9 Ultra Infestation[-]
quest_tier10_ultrainfested_clear,[fc8c03]Tier 10 Ultra Infestation[-]

quest_tier2_nightmare_clear,[9500b5]Tier 2 Nightmare Infestation[-]
quest_tier3_nightmare_clear,[9500b5]Tier 3 Nightmare Infestation[-]
quest_tier4_nightmare_clear,[9500b5]Tier 4 Nightmare Infestation[-]
quest_tier5_nightmare_clear,[9500b5]Tier 5 Nightmare Infestation[-]
quest_tier6_nightmare_clear,[9500b5]Tier 6 Nightmare Infestation[-]
quest_tier7_nightmare_clear,[9500b5]Tier 7 Nightmare Infestation[-]
quest_tier8_nightmare_clear,[9500b5]Tier 8 Nightmare Infestation[-]
quest_tier9_nightmare_clear,[9500b5]Tier 9 Nightmare Infestation[-]
quest_tier10_nightmare_clear,[9500b5]Tier 10 Nightmare Infestation[-]

quest_superinfestation_response2,[D95A9C]Super Infested Clear[-] at [A3B3DE]{poi.name}[-] [7eb293]T1 POI[-]([DECEA3]{poi.distance} {poi.direction}[-]) 
quest_superinfestation_response3,[D95A9C]Super Infested Clear[-] at [A3B3DE]{poi.name}[-] [fef580]T2 POI[-]([DECEA3]{poi.distance} {poi.direction}[-]) 
quest_superinfestation_response4,[D95A9C]Super Infested Clear[-] at [A3B3DE]{poi.name}[-] [FF5733]T3 POI[-] ([DECEA3]{poi.distance} {poi.direction}[-]) 
quest_superinfestation_response5,[D95A9C]Super Infested Clear[-] at [A3B3DE]{poi.name}[-] [c4342d]T4 POI[-] ([DECEA3]{poi.distance} {poi.direction}[-]) 
quest_superinfestation_response6,[D95A9C]Super Infested Clear[-] at [A3B3DE]{poi.name}[-] [66033c]T5 POI}[-] ([DECEA3]{poi.distance} {poi.direction}[-])
quest_superinfestation_response7,[D95A9C]Super Infested Clear[-] at [A3B3DE]{poi.name}[-] [fef580]T6 POI[-]([DECEA3]{poi.distance} {poi.direction}[-]) 
quest_superinfestation_response8,[D95A9C]Super Infested Clear[-] at [A3B3DE]{poi.name}[-] [FF5733]T6 POI[-] ([DECEA3]{poi.distance} {poi.direction}[-]) 
quest_superinfestation_response9,[D95A9C]Super Infested Clear[-] at [A3B3DE]{poi.name}[-] [c4342d]T6 POI[-] ([DECEA3]{poi.distance} {poi.direction}[-]) 
quest_superinfestation_response10,[D95A9C]Super Infested Clear[-] at [A3B3DE]{poi.name}[-] [66033c]T6 POI}[-] ([DECEA3]{poi.distance} {poi.direction}[-])

quest_ultrainfestation_response2,[BB3FB3]Ultra Infested Clear[-] at [A3B3DE]{poi.name}[-] [7eb293]T1 POI[-] ([DECEA3]{poi.distance} {poi.direction}[-]) 
quest_ultrainfestation_response3,[C446B0]Ultra Infested Clear[-] at [A3B3DE]{poi.name}[-] [fef580]T2 POI[-] ([DECEA3]{poi.distance} {poi.direction}[-]) 
quest_ultrainfestation_response4,[C446B0]Ultra Infested Clear[-] at [A3B3DE]{poi.name}[-] [FF5733]T3 POI[-] ([DECEA3]{poi.distance} {poi.direction}[-]) 
quest_ultrainfestation_response5,[C446B0]Ultra Infested Clear[-] at [A3B3DE]{poi.name}[-] [c4342d]T4 POI[-] ([DECEA3]{poi.distance} {poi.direction}[-]) 
quest_ultrainfestation_response6,[C446B0]Ultra Infested Clear[-] at [A3B3DE]{poi.name}[-] [66033c]T5 POI[-] ([DECEA3]{poi.distance} {poi.direction}[-])
quest_ultrainfestation_response7,[C446B0]Ultra Infested Clear[-] at [A3B3DE]{poi.name}[-] [fef580]T6 POI[-] ([DECEA3]{poi.distance} {poi.direction}[-]) 
quest_ultrainfestation_response8,[C446B0]Ultra Infested Clear[-] at [A3B3DE]{poi.name}[-] [FF5733]T6 POI[-] ([DECEA3]{poi.distance} {poi.direction}[-]) 
quest_ultrainfestation_response9,[C446B0]Ultra Infested Clear[-] at [A3B3DE]{poi.name}[-] [c4342d]T6 POI[-] ([DECEA3]{poi.distance} {poi.direction}[-]) 
quest_ultrainfestation_response10,[C446B0]Ultra Infested Clear[-] at [A3B3DE]{poi.name}[-] [66033c]T6 POI[-] ([DECEA3]{poi.distance} {poi.direction}[-]) 

quest_nightmare_response2,[9500b5]Nightmare Clear[-] at [A3B3DE]{poi.name}[-] [7eb293]T1 POI[-] ([DECEA3]{poi.distance} {poi.direction}[-]) 
quest_nightmare_response3,[9500b5]Nightmare Clear[-] at [A3B3DE]{poi.name}[-] [fef580]T2 POI[-] ([DECEA3]{poi.distance} {poi.direction}[-]) 
quest_nightmare_response4,[9500b5]Nightmare Clear[-] at [A3B3DE]{poi.name}[-] [FF5733]T3 POI[-] ([DECEA3]{poi.distance} {poi.direction}[-]) 
quest_nightmare_response5,[9500b5]Nightmare Clear[-] at [A3B3DE]{poi.name}[-] [c4342d]T4 POI[-] ([DECEA3]{poi.distance} {poi.direction}[-]) 
quest_nightmare_response6,[9500b5]Nightmare Clear[-] at [A3B3DE]{poi.name}[-] [66033c]T5 POI[-] ([DECEA3]{poi.distance} {poi.direction}[-])
quest_nightmare_response7,[9500b5]Nightmare Clear[-] at [A3B3DE]{poi.name}[-] [fef580]T6 POI[-] ([DECEA3]{poi.distance} {poi.direction}[-]) 
quest_nightmare_response8,[9500b5]Nightmare Clear[-] at [A3B3DE]{poi.name}[-] [FF5733]T6 POI[-] ([DECEA3]{poi.distance} {poi.direction}[-]) 
quest_nightmare_response9,[9500b5]Nightmare Clear[-] at [A3B3DE]{poi.name}[-] [c4342d]T6 POI[-] ([DECEA3]{poi.distance} {poi.direction}[-]) 
