Key,Source,Context,Changes,English

<!-- *** xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx -->
<!-- *** xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx -->
<!-- SingularityPerk -->
<!-- *** xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx -->
<!-- *** xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx -->
attmoon,progression,Attribute,New,Singularity Perk
MoonKey,progression,Attribute,New,Singularity Skills
MoonDesc,progression,Attribute,New,End Game Perks based on city Singularity
MoonBase,progression,Attribute,New,Unlock perks
MoonLongDesc,progression,Attribute,New,"Perks Based on Project Moon Games. Very expensive beware."

skillLimbusEGOname,progression,Skill,New,Singularity E.G.O.
skillLimbusEGODesc,progression,Skill,New,Unlocks perks related to leadership, trade, and mastery.
skillLimbusBodyname,progression,Skill,New,Singularity Body
skillLimbusBodyDesc,progression,Skill,New,Unlocks perks related to stamina, health, and resistance.
skillLimbusMindname,progression,Skill,New,Singularity Mind
skillLimbusMindDesc,progression,Skill,New,Unlocks perks related to intellect, crafting, and experience.
skillLimbusTechniquename,progression,Skill,New,Singularity Technique
skillLimbusTechniqueDesc,progression,Skill,New,Unlocks perks related to combat, mining, and harvesting.
skillLimbusResonancename,progression,Skill,New,Singularity Resonance
skillLimbusResonanceDesc,progression,Skill,New,Unlocks perks related to stealth, turrets, and special effects.


Acorp,progression,Attribute,New,ACorp
Acorpname,progression,Attribute,New,A Corp
AcorpDesc,progression,Attribute,New,Better at Trade
ACPA,progression,Attribute,New,"Improve buying/selling prices by {v:2,8}%, Secret Stash by {v:10,70}, and quest reward by {v:5,80}%."
ACPE,progression,Attribute,New,"Singularity Mastery = Take 2 quest rewards, improve weapon handling by 100%, Secret Stash by 250, and prices by 10%."
ACPD,progression,Attribute,New,"A Corp represents the leadership and economic backbone of the city, excelling in trade negotiations and maximizing quest rewards."

Bcorp,progression,Attribute,New,BCorp
Bcorpname,progression,Attribute,New,B Corp
BcorpDesc,progression,Attribute,New,Improve Weapon Range
BCPA,progression,Attribute,New,"Improve ranged weapon range by {v:10,95}%."
BCPE,progression,Attribute,New,"Singularity Mastery = Massively improve weapon range by 170%, tool range by 200%, and boomstick falloff range by 3m."
BCPD,progression,Attribute,New,"B Corp specializes in surveillance and ranged combat, extending weapon reach and amplifying damage for those who strike from afar."

Ccorp,progression,Attribute,New,CCorp
Ccorpname,progression,Attribute,New,C Corp
CcorpDesc,progression,Attribute,New,Improve Unarmed
CCPA,progression,Attribute,New,"Improve unarmed damage by {v:20,70}% and attack speed by {v:20,60}%."
CCPE,progression,Attribute,New,"Singularity Mastery = Improve unarmed damage by 150%, speed by 120%, movement speed by 35%, and range by 100%."
CCPD,progression,Attribute,New,"C Corp, known as Claw Corp, is the city's enforcer, mastering unarmed combat with devastating speed and power."

Dcorp,progression,Attribute,New,DCorp
Dcorpname,progression,Attribute,New,D Corp
DcorpDesc,progression,Attribute,New,Improve ore and wood harvesting
DCPA,progression,Attribute,New,"Improve resource and mining yield by {v:3,70}%."
DCPE,progression,Attribute,New,"Singularity Mastery = Increase harvest yield by 100% and block damage by 100%."
DCPD,progression,Attribute,New,"D Corp is the foundation of resource extraction, vastly improving mining and wood harvesting for all industrial needs."

Ecorp,progression,Attribute,New,ECorp
Ecorpname,progression,Attribute,New,E Corp
EcorpDesc,progression,Attribute,New,Provide armor penetration or ignore armor
ECPA,progression,Attribute,New,"Ignore {v:10,20}% of enemy armor and improve ranged damage by {v:5,35}%."
ECPE,progression,Attribute,New,"Singularity Mastery = Ranged weapons pierce 2 extra entities, ignoring 30% of armor."
ECPD,progression,Attribute,New,"E Corp pioneers advanced ballistics, enhancing armor penetration and ranged weapon effectiveness against even the toughest foes."

Fcorp,progression,Attribute,New,FCorp
Fcorpname,progression,Attribute,New,F Corp
FcorpDesc,progression,Attribute,New,Improve Lockpicking and Buried Treasure reward
FCPA,progression,Attribute,New,"Reduce lockpicking time by {v:5,12}%, break chance by {v:10,20}%, and improve buried treasure loot by {v:20,80}%."
FCPE,progression,Attribute,New,"Singularity Mastery = Reduce lockpick break chance by 55%, time by 20%, and improve buried treasure reward by 100%."
FCPD,progression,Attribute,New,"F Corp employs fairy technology to unlock any barrier, making lockpicking effortless and uncovering greater buried treasures."

Gcorp,progression,Attribute,New,GCorp
Gcorpname,progression,Attribute,New,G Corp
GcorpDesc,progression,Attribute,New,Reduce fall damage and increase jump height
GCPA,progression,Attribute,New,"Increase jump height by {v:20,100}%."
GCPE,progression,Attribute,New,"Singularity Mastery = Increase jump height by 120%, reduce jump stamina cost by 25%, and reduce fall damage by 20%."
GCPD,progression,Attribute,New,"G Corp manipulates gravity, reducing fall damage and boosting jump height to traverse the cityscape with ease."

Hcorp,progression,Attribute,New,HCorp
Hcorpname,progression,Attribute,New,H Corp
HcorpDesc,progression,Attribute,New,Harvesting terrain gives extra resource
HCPA,progression,Attribute,New,"Harvesting terrain gives {v:1,15} extra resources."
HCPE,progression,Attribute,New,"Singularity Mastery = Digging gravel and debris gives up to 18 extra resources, significantly increasing harvest rate."
HCPD,progression,Attribute,New,"H Corp transforms the landscape, granting extra resources from terrain and uncovering hidden valuables beneath the surface."

Icorp,progression,Attribute,New,ICorp
Icorpname,progression,Attribute,New,I Corp
IcorpDesc,progression,Attribute,New,Resist Fire
ICPA,progression,Attribute,New,"Increase fire and elemental resistance by {v:10,50}% and demolition handling by {v:5,35}%."
ICPE,progression,Attribute,New,"Singularity Mastery = Completely immune to fire and radiation (100% resistance)."
ICPD,progression,Attribute,New,"I Corp provides cutting-edge protection, granting resistance and eventual immunity to fire and radiation hazards."

Jcorp,progression,Attribute,New,JCorp
Jcorpname,progression,Attribute,New,J Corp
JcorpDesc,progression,Attribute,New,Increase loot quantity and stage
JCPA,progression,Attribute,New,"Increase loot stage by {v:5,50}% and loot quantity by {v:10,60}%."
JCPE,progression,Attribute,New,"Singularity Mastery = Significantly increase loot quality and quantity by 100%."
JCPD,progression,Attribute,New,"J Corp is the master of scavenging, increasing both the quantity and quality of loot found throughout the city."

Kcorp,progression,Attribute,New,KCorp
Kcorpname,progression,Attribute,New,K Corp
KcorpDesc,progression,Attribute,New,Increase regeneration
KCPA,progression,Attribute,New,"Increase passive health regeneration by {v:0.01,0.35} HP."
KCPE,progression,Attribute,New,"Singularity Mastery = Significantly increase regeneration to 1 HP per tick."
KCPD,progression,Attribute,New,"K Corp advances medical science, accelerating natural regeneration and recovery for all members."

Lcorp,progression,Attribute,New,LCorp
Lcorpname,progression,Attribute,New,L Corp
LcorpDesc,progression,Attribute,New,Increase drug duration every 10 levels
LCPA,progression,Attribute,New,"Increase drug effect duration at milestone levels. Drugs last twice as long at level 10, and nearly three times as long at level 20."
LCPE,progression,Attribute,New,"Singularity Mastery = Maximize drug duration, making all pharmaceutical effects last five times longer."
LCPD,progression,Attribute,New,"L Corp extends the effects of pharmaceuticals, making every dose last longer and enhancing their benefits."

Mcorp,progression,Attribute,New,MCorp
Mcorpname,progression,Attribute,New,M Corp
McorpDesc,progression,Attribute,New,Increase stamina
MCPA,progression,Attribute,New,"Increase max stamina by {v:10,350}."
MCPE,progression,Attribute,New,"Singularity Mastery = Increase max stamina by 450 and add 15 weather resistance."
MCPD,progression,Attribute,New,"M Corp boosts stamina reserves and weather resistance, keeping operatives energized and protected in any environment."

Ncorp,progression,Attribute,New,NCorp
Ncorpname,progression,Attribute,New,N Corp
NcorpDesc,progression,Attribute,New,"Improve spear, hammer, and XP gain"
NCPA,progression,Attribute,New,"Improve spear damage by {v:5,80}%, hammer damage by {v:5,150}%, attack speed by {v:5,45}%, and XP gain by {v:10,80}%."
NCPE,progression,Attribute,New,"Singularity Mastery = Improve spear damage by 100%, hammer damage by 250%, attack speed by 50%, range by 100%, and XP gain by 100%."
NCPD,progression,Attribute,New,"N Corp trains specialists in spear and hammer combat, while also accelerating experience gain for rapid advancement."

Ocorp,progression,Attribute,New,OCorp
Ocorpname,progression,Attribute,New,O Corp
OcorpDesc,progression,Attribute,New,Currently handle salvage
OCPA,progression,Attribute,New,"Improve salvage yield by {v:6,50}%."
