Key,File,Type,UsedInMainMenu,NoTranslate,english,Context,german,spanish,french,italian,japanese,korean,polish,brazilian,russian,turkish,schinese,tchinese
park_residential_01_exd_svarii,POI,POIName,False,False,"Gella Park","Prefab name for residential park quest.",Gella Park,"Parque Gella","Parc Gella","Parco Gella",ゲラ公園,"겔라 공원","Park Gella","Parque Gella","Парк Гелла","Gella Parkı",盖拉公园,蓋拉公園
church_01_svarii,POI,POIName,False,False,"Bloodmoon Brotherhood","",Blutmond-Bruderschaft,"Hermandad de la Luna de Sangre","Confrérie de la Lune de Sang","Confraternita della Luna di Sangue",ブラッドムーンブラザーフッド,"블러드문 형제단","Bractwo Krwawego Księżyca","Irmandade da Lua de Sangue","Братство Кровавой Луны","Kanlı Ay Kardeşliği",血月兄弟会,血月兄弟會
house_burnt_01_exd_svarii,POI,POIName,False,False,"Clopex Estate","",Clopex Anwesen,"Finca Clopex","Domaine Clopex","Tenuta Clopex",クロペックス邸,"클로펙스 저택","Posiadłość Clopex","Propriedade Clopex","Усадьба Клопекс","Clopex Malikanesi",克洛佩克斯庄园,克洛佩克斯莊園
rwg_tile_gateway_straight_bridge_01_svarii,POI,POIName,False,False,"Essex Bridge","","Essex-Brücke","Puente de Essex","Pont d'Essex","Ponte di Essex",エセックス橋,"에식스 다리","Most Essex","Ponte de Essex","Мост Эссекс","Essex Köprüsü",埃塞克斯桥,埃塞克斯橋
farnsworth_residence_svarii,POI,POIName,False,False,"Farnsworth Residence","",Farnsworth Anwesen,"Finca Farnsworth","Domaine Farnsworth","Tenuta Farnsworth",ファーンズワース邸,"판스워스 저택","Posiadłość Farnsworth","Propriedade Farnsworth","Усадьба Фарнсворта","Farnsworth Malikanesi",法恩斯沃斯庄园,法恩斯沃斯莊園
graveyard_01_svarii,POI,POIName,False,False,"Overgrown Graveyard","","Überwucherter Friedhof","Cementerio cubierto de maleza","Cimetière envahi par la végétation","Cimitero invaso dalla vegetazione",草生した墓地,"풀이 무성한 묘지","Zarośnięty cmentarz","Cemitério coberto de vegetação","Заросшее кладбище","Aşırı Büyümüş Mezarlık",杂草丛生的墓地,雜草叢生的墓地
rwg_tile_gateway_straight_clock_svarii_01,POI,POIName,False,False,"WatchTower 7","","Wachturm 7","Torre de Vigilancia 7","Tour de guet 7","Torre di avvistamento 7","監視塔 7","감시탑 7","Wieża strażnicza 7","Torre de Vigia 7","Сторожевая башня 7","Gözetleme Kulesi 7","瞭望塔 7","瞭望塔 7"
park_residential_01_exd_svarii,POI,POIName,False,False,"Gella Park","Prefab name for residential park quest.",Gella Park,"Parque Gella","Parc Gella","Parco Gella",ゲラ公園,"겔라 공원","Park Gella","Parque Gella","Парк Гелла","Gella Parkı",盖拉公园,蓋拉公園
house_shanty_01_svarii,prefab,POIName,False,False,"Shadow Man Shanty","",Schattenmann-Hütte,"Cabaña del Hombre Sombra","Cabane de l'homme de l'ombre","Capanna dell'Uomo Ombra",シャドウマンの小屋,"섀도우 맨의 판자집","Chata Shadow Mana","Barraco do Homem das Sombras","Лачуга Теневого Человека","Gölge Adam'ın Kulübesi",影子人的棚屋,影子人的棚屋
park_azaroth_svarii,POI,POIName,False,False,"Azaroth Park","",Azaroth Park,"Parque Azaroth","Parc Azaroth","Parco Azaroth",アザロス公園,"아제로스 공원","Park Azaroth","Parque Azaroth","Парк Азарот","Azaroth Parkı",亚扎罗斯公园,亞扎羅斯公園
house_old_cottage_oneHalf_svarii,POI,POIName,False,False,"Cringe Cottage","",Cringe-Hütte,Cabaña de la Vergüenza Ajena,Cottage de la Gêne,Cottage Imbarazzante,ドン引きコテージ,극혐 코티지,Domek Żenady,Chalé Cringe,Коттедж «Кринж»,Utanç Kulübesi,尴尬小屋,尷尬小屋
