Key,Source,Context,Changes,English,schinese,Russian
attMastery,progression,Attribute,New,MASTERY,精通,Мастерство
attMasteryDesc,progression,Attribute,New,Master your area of expertise!,掌握您的专业领域!,Овладейте своей специализацией!
UnlockMasteries,progression,Attribute,New,Masteries,精通,Мастерства
UnlockMasteriesDesc,progression,Attribute,New,"Master yourself, master the enemy.","战胜自己,战胜敌人","Владей собой, властвуй над врагом."
masterySpec,progression,Attribute,New,"Specialisation","专精","Специализация"
masterySpecDesc,progression,Attribute,New,"Master of one.","精于一门。","Мастер своего дела."
masteryGeneral,progression,Attribute,New,"Jack of all trades","万事通","Мастер на все руки"
masteryGeneralDesc,progression,Attribute,New,"Master of none.","样样稀松。","Ни в чем не преуспел."
General_Perks,progression,Attribute,New,"MASTERY","精通","МАСТЕРСТВО"
General_perks_for_all,progression,Attribute,New,"Master yourself, master the enemy.","胜人者有力，自胜者强。","Познаешь себя — познаешь врага."


Template,progression,skills,New,"Template",,
Template0,progression,skills,New,,,
Template1Desc,progression,skills,New,,,
Template2Desc,progression,skills,New,,,
Template3Desc,progression,skills,New,,,
Template4Desc,progression,skills,New,,,
Template5Desc,progression,skills,New,,,
Template6Desc,progression,skills,New,,,
Template7Desc,progression,skills,New,,,
Template1,progression,skills,New,,,
Template2,progression,skills,New,,,
Template3,progression,skills,New,,,
Template4,progression,skills,New,,,
Template5,progression,skills,New,,,
Template6,progression,skills,New,,,
Template7,progression,skills,New,,,

dayTraderJackpotMsg,gameevents,actions,New,"[EFBF04]THE MARKETS HAVE PEAKED!!![-] [85BB65]+7,000 Dukes![-]","[EFBF04]市场已经达到巅峰！！！[-] [85BB65]+7,000 公爵币！[-]","[EFBF04]РЫНКИ ДОСТИГЛИ ПИКА!!![-] [85BB65]+7 000 марок![-]"
buffStalkerVanish,buffs,Buff,Name,Shadow Vanish,暗影消散,Исчезновение в тени
buffStalkerVanishDesc,buffs,Buff,Description,You have blended into the shadows and broken enemy tracking.,你已融入阴影之中，并摆脱了敌人的追踪。,Вы слились с тенями и сбили врагов со следа.
buffStalkerVanishCooldownT1,buffs,Buff,Name,Shadow Step Cooldown (8min),暗影步冷却 (8分钟),Перезарядка Шага тени (8 мин.)
buffStalkerVanishCooldownDescT1,buffs,Buff,Description,Your shadow step ability is recharging.,你的暗影步能力正在冷却中。,Способность «Шаг тени» восстанавливается.
buffStalkerVanishCooldownT2,buffs,Buff,Name,Shadow Step Cooldown (4min),暗影步冷却 (4分钟),Перезарядка Шага тени (4 мин.)
buffStalkerVanishCooldownDescT2,buffs,Buff,Description,Your shadow step ability is recharging.,你的暗影步能力正在冷却中。,Способность «Шаг тени» восстанавливается.
buffStalkerVanishCooldownT3,buffs,Buff,Name,Shadow Step Cooldown (2min),暗影步冷却 (2分钟),Перезарядка Шага тени (2 мин.)
buffStalkerVanishCooldownDescT3,buffs,Buff,Description,Your shadow step ability is recharging.,你的暗影步能力正在冷却中。,Способность «Шаг тени» восстанавливается.

Arsonist,progression,skills,New,"Arsonist","纵火犯","Поджигатель"
Arsonist0,progression,skills,New,"You like to play with the eternal fire, the one that roars in every engine.","你喜欢玩弄那永恒之火，那是每台发动机中轰鸣的火焰。","Вы любите играть с вечным огнем — тем самым, что ревет в каждом двигателе."
Arsonist1Desc,progression,skills,New,"Molotovs deal 14% more damage. Burning weapons deal 3 dmg/s and have a 40% chance to ignite enemies.","燃烧瓶造成的伤害提高 14%。燃烧类武器造成 3 伤害/秒，且有 40% 的几率点燃敌人。","Коктейли Молотова наносят на 14% больше урона. Горящее оружие наносит 3 ед. урона/сек. и имеет 40% шанс поджечь врага."
Arsonist2Desc,progression,skills,New,"Molotovs deal 28% more damage. Burning weapons deal 4 dmg/s and have a 40% chance to ignite enemies.","燃烧瓶造成的伤害提高 28%。燃烧类武器造成 4 伤害/秒，且有 40% 的几率点燃敌人。","Коктейли Молотова наносят на 28% больше урона. Горящее оружие наносит 4 ед. урона/сек. и имеет 40% шанс поджечь врага."
Arsonist3Desc,progression,skills,New,"Molotovs deal 42% more damage. Burning weapons deal 5 dmg/s and have a 40% chance to ignite enemies.","燃烧瓶造成的伤害提高 42%。燃烧类武器造成 5 伤害/秒，且有 40% 的几率点燃敌人。","Коктейли Молотова наносят на 42% больше урона. Горящее оружие наносит 5 ед. урона/сек. и имеет 40% шанс поджечь врага."
Arsonist4Desc,progression,skills,New,"Molotovs deal 56% more damage. Burning weapons deal 6 dmg/s and have a 70% chance to ignite enemies.","燃烧瓶造成的伤害提高 56%。燃烧类武器造成 6 伤害/秒，且有 70% 的几率点燃敌人。","Коктейли Молотова наносят на 56% больше урона. Горящее оружие наносит 6 ед. урона/сек. и имеет 70% шанс поджечь врага."
Arsonist5Desc,progression,skills,New,"Molotovs deal 70% more damage. Burning weapons deal 7 dmg/s and have a 70% chance to ignite enemies.","燃烧瓶造成的伤害提高 70%。燃烧类武器造成 7 伤害/秒，且有 70% 的几率点燃敌人。","Коктейли Молотова наносят на 70% больше урона. Горящее оружие наносит 7 ед. урона/сек. и имеет 70% шанс поджечь врага."
Arsonist6Desc,progression,skills,New,"Molotovs deal 84% more damage. Burning weapons deal 8 dmg/s and have a 70% chance to ignite enemies.","燃烧瓶造成的伤害提高 84%。燃烧类武器造成 8 伤害/秒，且有 70% 的几率点燃敌人。","Коктейли Молотова наносят на 84% больше урона. Горящее оружие наносит 8 ед. урона/сек. и имеет 70% шанс поджечь врага."
Arsonist7Desc,progression,skills,New,"'Burn, baby, BURN!'\n\nMolotovs deal 100% more damage. Burning weapons deal 9 dmg/s and always ignite enemies.","'燃烧吧，宝贝，燃烧吧！'\n\n燃烧瓶造成的伤害提高 100%。燃烧类武器造成 9 伤害/秒，且必定点燃敌人。","'Гори, детка, ГОРИ!'\n\nКоктейли Молотова наносят на 100% больше урона. Горящее оружие наносит 9 ед. урона/сек. и всегда поджигает врагов."
Arsonist1,progression,skills,New,"Arsonist I","纵火犯 I","Поджигатель I"
Arsonist2,progression,skills,New,"Arsonist II","纵火犯 II","Поджигатель II"
Arsonist3,progression,skills,New,"Arsonist III","纵火犯 III","Поджигатель III"
Arsonist4,progression,skills,New,"Arsonist IV","纵火犯 IV","Поджигатель IV"
Arsonist5,progression,skills,New,"Arsonist V","纵火犯 V","Поджигатель V"
Arsonist6,progression,skills,New,"Arsonist VI","纵火犯 VI","Поджигатель VI"
Arsonist7,progression,skills,New,"Arsonist VII","纵火犯 VII","Поджигатель VII"

Blademaster,progression,skills,New,"Blademaster","刃具大师","Фехтовальщик"
Blademaster0,progression,skills,New,"You have acquired a loicense for stabbin'!","你已经获得了捅人的许可！","Вы получили лицензию на поножовщину!"
Blademaster1Desc,progression,skills,New,"Increase the melee range and attack speed of bladed weapons by 2%. Increase the maximum stacks of bleed you can apply by 1.","使用刃具类武器时，攻击速度和攻击距离提高 2%。可施加的最大出血叠加层数 +1。","Увеличивает дальность ближнего боя и скорость атаки клинковым оружием на 2%. Максимальное количество стаков кровотечения увеличено на 1."
Blademaster2Desc,progression,skills,New,"Increase the melee range and attack speed of bladed weapons by 4%. Increase the maximum stacks of bleed you can apply by 2.","使用刃具类武器时，攻击速度和攻击距离提高 4%。可施加的最大出血叠加层数 +2。","Увеличивает дальность ближнего боя и скорость атаки клинковым оружием на 4%. Максимальное количество стаков кровотечения увеличено на 2."
Blademaster3Desc,progression,skills,New,"Increase the melee range and attack speed of bladed weapons by 6%. Increase the maximum stacks of bleed you can apply by 3.","使用刃具类武器时，攻击速度和攻击距离提高 6%。可施加的最大出血叠加层数 +3。","Увеличивает дальность ближнего боя и скорость атаки клинковым оружием на 6%. Максимальное количество стаков кровотечения увеличено на 3."
Blademaster4Desc,progression,skills,New,"Increase the melee range and attack speed of bladed weapons by 8%. Increase the maximum stacks of bleed you can apply by 4.","使用刃具类武器时，攻击速度和攻击距离提高 8%。可施加的最大出血叠加层数 +4。","Увеличивает дальность ближнего боя и скорость атаки клинковым оружием на 8%. Максимальное количество стаков кровотечения увеличено на 4."
Blademaster5Desc,progression,skills,New,"Increase the melee range and attack speed of bladed weapons by 10%. Increase the maximum stacks of bleed you can apply by 5.","使用刃具类武器时，攻击速度和攻击距离提高 10%。可施加的最大出血叠加层数 +5。","Увеличивает дальность ближнего боя и скорость атаки клинковым оружием на 10%. Максимальное количество стаков кровотечения увеличено на 5."
Blademaster6Desc,progression,skills,New,"Increase the melee range and attack speed of bladed weapons by 12%. Increase the maximum stacks of bleed you can apply by 6.","使用刃具类武器时，攻击速度和攻击距离提高 12%。可施加的最大出血叠加层数 +6。","Увеличивает дальность ближнего боя и скорость атаки клинковым оружием на 12%. Максимальное количество стаков кровотечения увеличено на 6."
Blademaster7Desc,progression,skills,New,"'SHAMK!'\n\nIncrease the melee range and attack speed of bladed weapons by 15%. Increase the maximum stacks of bleed you can apply by 7.","'吃我一剑！'\n\n使用刃具类武器时，攻击速度和攻击距离提高 15%。可施加的最大出血叠加层数 +7。","'ПОЛУЧАЙ!'\n\nУвеличивает дальность ближнего боя и скорость атаки клинковым оружием на 15%. Максимальное количество стаков кровотечения увеличено на 7."
Blademaster1,progression,skills,New,"Blademaster I","刃具大师 I","Фехтовальщик I"
Blademaster2,progression,skills,New,"Blademaster II","刃具大师 II","Фехтовальщик II"
Blademaster3,progression,skills,New,"Blademaster III","刃具大师 III","Фехтовальщик III"
Blademaster4,progression,skills,New,"Blademaster IV","刃具大师 IV","Фехтовальщик IV"
Blademaster5,progression,skills,New,"Blademaster V","刃具大师 V","Фехтовальщик V"
Blademaster6,progression,skills,New,"Blademaster VI","刃具大师 VI","Фехтовальщик VI"
Blademaster7,progression,skills,New,"Blademaster VII","刃具大师 VII","Фехтовальщик VII"

Builder,progression,skills,New,"Construction Worker","建筑工人","Строитель"
Builder0,progression,skills,New,"For whom it is, it is good.","对受众来说，这很不错。","Для кого как, а так — пойдёт."
Builder1Desc,progression,skills,New,"Increases upgrading experience by 14%.","升级经验增加 14%。","Увеличивает опыт за улучшение на 14%."
Builder2Desc,progression,skills,New,"Increases upgrading experience by 28%.","升级经验增加 28%。","Увеличивает опыт за улучшение на 28%."
Builder3Desc,progression,skills,New,"Increases upgrading experience by 42%.","升级经验增加 42%。","Увеличивает опыт за улучшение на 42%."
Builder4Desc,progression,skills,New,"Increases upgrading experience by 56%.","升级经验增加 56%。","Увеличивает опыт за улучшение на 56%."
Builder5Desc,progression,skills,New,"Increases upgrading experience by 70%.","升级经验增加 70%。","Увеличивает опыт за улучшение на 70%."
Builder6Desc,progression,skills,New,"Increases upgrading experience by 84%.","升级经验增加 84%。","Увеличивает опыт за улучшение на 84%."
Builder7Desc,progression,skills,New,"'Boss makes a dollar I make a dime that’s why I s**t on company time.'\n\nIncreases upgrading experience by 100%.","“老板赚一块，我赚一毛，所以我上班时间拉#@。”\n\n升级经验增加 100%。","«Босс рубит доллар, я — лишь гроши, так что я #@! в рабочие часы».\n\nУвеличивает опыт за улучшение на 100%."
Builder1,progression,skills,New,"Construction Worker I","建筑工人 I","Строитель I"
Builder2,progression,skills,New,"Construction Worker II","建筑工人 II","Строитель II"
Builder3,progression,skills,New,"Construction Worker III","建筑工人 III","Строитель III"
Builder4,progression,skills,New,"Construction Worker IV","建筑工人 IV","Строитель IV"
Builder5,progression,skills,New,"Construction Worker V","建筑工人 V","Строитель V"
Builder6,progression,skills,New,"Construction Worker VI","建筑工人 VI","Строитель VI"
Builder7,progression,skills,New,"Construction Worker VII","建筑工人 VII","Строитель VII"

Bowman,progression,skills,New,"Bowman","弓箭手","Лучник"
Bowman0,progression,skills,New,"Your archery prowess is unmatched.","你的弓箭造诣无与伦比。","Твоё мастерство стрельбы из лука не знает равных."
Bowman1Desc,progression,skills,New,"Increase your entity damage, weapon handling, reload speed with bows by 7% and prepare an additional bolt/arrow per reload.","使用弓箭时，实体伤害、武器操作、装填速度各增加 7%，每次装填时额外装填 1 支箭。","Увеличивает урон по существам, удобство обращения и скорость перезарядки луков на 7% и позволяет заряжать 1 дополнительный болт/стрелу за перезарядку."
Bowman2Desc,progression,skills,New,"Increase your entity damage, weapon handling, reload speed with bows by 14% and prepare an additional bolt/arrow per reload.","使用弓箭时，实体伤害、武器操作、装填速度各增加 14%，每次装填时额外装填 1 支箭。","Увеличивает урон по существам, удобство обращения и скорость перезарядки луков на 14% и позволяет заряжать 1 дополнительный болт/стрелу за перезарядку."
Bowman3Desc,progression,skills,New,"Increase your entity damage, weapon handling, reload speed with bows by 21% and prepare 2 additional bolts/arrows per reload.","使用弓箭时，实体伤害、武器操作、装填速度各增加 21%，每次装填时额外装填 2 支箭。","Увеличивает урон по существам, удобство обращения и скорость перезарядки луков на 21% и позволяет заряжать 2 дополнительных болта/стрелы за перезарядку."
Bowman4Desc,progression,skills,New,"Increase your entity damage, weapon handling, reload speed with bows by 28% and prepare 2 additional bolts/arrows per reload.","使用弓箭时，实体伤害、武器操作、装填速度各增加 28%，每次装填时额外装填 2 支箭。","Увеличивает урон по существам, удобство обращения и скорость перезарядки луков на 28% и позволяет заряжать 2 дополнительных болта/стрелы за перезарядку."
